ImageName,X,Y,W,H,Lon,Lat,COG,SOG,Class,PredLon_10,PredLat_10,PredLon_20,PredLat_20,PredLon_30,PredLat_30,PredLon_40,PredLat_40,PredLon_50,PredLat_50,PredLon_60,PredLat_60
2024-10-12-01-47-23_UMBRA-07_SICD_MM,3796.5,4237.0,61.0,130.0,3827.0,4302.0,0.49,236.0,Fishing,3827.0001908255895,-17.978776786149396,3827.000381605308,-17.95755357211197,3827.0005723392255,-17.93633035788828,3827.0007630274104,-17.9151071434786,3827.0009536699313,-17.893883928883206,3827.0011442668574,-17.87266071410239
2024-10-12-01-47-23_UMBRA-07_SICD_MM,891.0,5644.0,98.0,190.0,940.0,5739.0,0.54,58.0,Tanker,940.0000526551443,-20.99478416633805,940.0001053066095,-20.989568332659985,940.0001579543971,-20.984352498965738,940.0002105985085,-20.979136665255314,940.0002632389446,-20.973920831528723,940.0003158757071,-20.968704997785967
2024-10-12-01-47-23_UMBRA-07_SICD_MM,4034.5,4108.5,65.0,195.0,4067.0,4206.0,3.82,256.0,Cargo,4066.9962255653613,-66.02297143696244,4066.9924443195173,-66.04594278143506,4066.988656242825,-66.06891403315075,4066.9848613155636,-66.09188519184134,4066.9810595179365,-66.11485625723766,4066.977250830074,-66.13782722906946
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1782.0,3615.5,60.0,123.0,1812.0,3677.0,10.0,262.0,Tanker,1812.0182205313288,77.02320362900007,1812.036505215411,77.04640598562274,1812.0548543941302,77.06960706301707,1812.0732684117784,77.09280685428303,1812.0917476150742,77.11600535247133,1812.1102923531864,77.13920255058294
2024-10-12-01-47-23_UMBRA-07_SICD_MM,5038.0,1774.0,54.0,106.0,5065.0,1827.0,10.0,83.0,Tanker,5065.001454825348,27.007350961315105,5065.002909840977,27.01470190768296,5065.004365046971,27.02205283909677,5065.005820443414,27.02940375554982,5065.007276030394,27.036754657035413,5065.008731807991,27.044105543546852
2024-10-12-01-47-23_UMBRA-07_SICD_MM,7878.5,3571.5,37.0,91.0,7897.0,3617.0,10.0,267.0,Dredger,7897.004360688163,17.023647045949822,7897.008722478556,17.047293998968996,7897.013085373082,17.07094085889676,7897.017449373641,17.094587625572405,7897.02181448214,17.118234298835077,7897.026180700479,17.141880878523775
2024-10-12-01-47-23_UMBRA-07_SICD_MM,6493.5,5367.0,45.0,86.0,6516.0,5410.0,0.36,64.0,Tanker,6516.000036722162,10.005755544664082,6516.000073445627,10.011511089324156,6516.000110170393,10.0172666339802,6516.000146896463,10.023022178632209,6516.000183623837,10.028777723280186,6516.000220352516,10.034533267924125
2024-10-12-01-47-23_UMBRA-07_SICD_MM,4365.0,4622.5,54.0,55.0,4392.0,4650.0,0.53,31.0,TugTow,4392.000029777,-29.997212222293438,4392.000059552327,-29.994424444580222,4392.000089325981,-29.99163666686031,4392.000119097963,-29.988848889133696,4392.000148868274,-29.986061111400392,4392.000178636912,-29.983273333660392
2024-10-12-01-47-23_UMBRA-07_SICD_MM,7273.5,5964.0,27.0,60.0,7287.0,5994.0,0.22,107.0,Tanker,7286.999937124781,-54.009622670230925,7286.999874220477,-54.01924534042876,7286.999811287064,-54.02886801059374,7286.999748324519,-54.03849068072586,7286.999685332816,-54.04811335082506,7286.999622311932,-54.05773602089133
2024-10-12-01-47-23_UMBRA-07_SICD_MM,3248.0,4900.0,524.0,60.0,3510.0,4930.0,0.1,340.0,Fishing,3509.9998437368067,-70.03057688796126,3509.9996870139375,-70.06115377578558,3509.9995298292724,-70.09173066347208,3509.999372180677,-70.1223075510201,3509.999214066003,-70.15288443842903,3509.999055483091,-70.18346132569818
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1650.0,6423.0,412.0,156.0,1856.0,6501.0,0.18,294.0,Tanker,1856.0000889890862,21.026439924714825,1856.0001780097482,21.052879849383064,1856.0002670620413,21.079319774004922,1856.0003561460196,21.105759698580318,1856.0004452617388,21.132199623109166,1856.0005344092529,21.158639547591385
2024-10-12-01-47-23_UMBRA-07_SICD_MM,4142.5,3163.5,81.0,43.0,4183.0,3185.0,3.45,7.0,Tanker,4183.000066046371,-54.99937161575077,4183.000132090672,-54.998743231465596,4183.000198132905,-54.998114847144656,4183.00026417307,-54.997486462787954,4183.000330211165,-54.99685807839549,4183.000396247193,-54.99622969396725
2024-10-12-01-47-23_UMBRA-07_SICD_MM,5860.0,4729.5,54.0,95.0,5887.0,4777.0,0.0,106.0,Cargo,5887.0,82.99046719097718,5887.0,82.98093438195448,5887.0,82.97140157293168,5887.0,82.961868763909,5887.0,82.95233595488627,5887.0,82.94280314586354
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1084.5,4294.5,197.0,121.0,1183.0,4355.0,0.0,158.0,Cargo,1183.0,35.01420928137341,1183.0,35.02841856274693,1183.0,35.042627844120446,1183.0,35.056837125493956,1183.0,35.07104640686748,1183.0,35.08525568824099
2024-10-12-01-47-23_UMBRA-07_SICD_MM,1374.5,2161.0,345.0,172.0,1547.0,2247.0,0.0,12.0,Dredger,1547.0,87.00107918592711,1547.0,87.00215837185425,1547.0,87.00323755778138,1547.0,87.00431674370827,1547.0,87.00539592963545,1547.0,87.00647511556242
2024-10-12-01-47-23_UMBRA-07_SICD_MM,2232.5,3551.0,27.0,68.0,2246.0,3585.0,4.35,244.0,Tanker,2246.0017229234536,-14.978119758335497,2246.003445494885,-14.956239503738175,2246.0051677149045,-14.934359236230677,2246.0068895841214,-14.912478955835404,2246.0086111031446,-14.890598662574735,2246.010332272583,-14.86871835647103
