image,X,Y,W,H,Lon,Lat
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8.tif,9798,6749,22,19,126.9903733245594,36.20436547408523
S1A_IW_GRDH_1SDV_20240224T093202_20240224T093227_052699_066052_14E8.tif,16058,6866,24,20,128.11524372333386,36.18325506490842
