,Date,Time,MMSI,Lon,Lat,COG,SOG,VesselName,VesselType,DimA,DimB,DimC,DimD,Destination
286,2024-02-24,09:32:03,440220460.0,125.48873188644698,35.630153578840975,181.7,0.8744799999999999,HUA GAO,TUG,0.0,0.0,0.0,0.0,ZOS
287,2024-02-24,09:32:17,440221050.0,126.13183833,36.67417167,146.4,0.0,GRAMPUS BRAVE,BULK,0.0,0.0,0.0,0.0,SG SIN
288,2024-02-24,09:32:14,440222350.0,126.50921333,36.433555,176.1,0.0,MATSON MAUI,CONTAINER,20.0,15.0,5.0,5.0,CNNGB
289,2024-02-24,09:32:20,440223010.0,126.84546840758642,36.9554040250564,231.7,0.05144,EURYBIA,BULK,0.0,0.0,0.0,0.0,CN BEI
290,2024-02-24,09:32:11,440223080.0,126.30506082543107,36.2242176287548,254.2,0.20576,YUAN YANG HU,TANKER,0.0,0.0,0.0,0.0,CN NBO
291,2024-02-24,09:32:14,440223540.0,126.50993667,36.43439833,24.5,0.0,DUPLIC DYNAMIC,TANKER,15.0,20.0,5.0,5.0,ZOS CN
292,2024-02-24,09:32:05,440224270.0,126.05768505149035,35.79493181272681,50.0,4.166639999999999,OOCL MALAYSIA,CONTAINER,0.0,0.0,0.0,0.0,YAN
293,2024-02-24,09:32:21,440224790.0,126.74593333,36.986415,102.0,0.0,KAHLA,TANKER,0.0,0.0,0.0,0.0,CN ZOS
294,2024-02-24,09:32:21,440225060.0,126.41906667,37.01677667,63.0,0.0,ETOILE,CONTAINER,0.0,0.0,0.0,0.0,HAIPHONG
295,2024-02-24,09:32:21,440225870.0,126.41664833,37.015605,262.5,0.0,ZHONG GU DIZHONG HAI,CONTAINER,0.0,0.0,0.0,0.0,CNNGB
296,2024-02-24,09:32:07,440229000.0,125.77803090756876,35.9330628445036,187.7,6.43,NANDU ARROW,BULK,73.0,21.0,9.0,9.0,CNZOS
297,2024-02-24,09:32:24,440277000.0,125.96309,37.26549667,171.4,0.0,SHINAS MAX,BULK,0.0,0.0,0.0,0.0,LYG CHINA
298,2024-02-24,09:32:08,440290000.0,126.55151667,35.97506667,233.6,0.0,THEOMETOR,BULK,69.0,23.0,12.0,3.0,ID MUB
299,2024-02-24,09:32:23,440300830.0,126.11328648581635,37.16642522888456,308.5,0.20576,ZHENG YAO,BULK,0.0,0.0,0.0,0.0,IN ORDER
300,2024-02-24,09:32:08,440300860.0,126.56825644424924,35.98105635613741,262.4,4.3724,DING HENG 3,CHEMICAL_TANKER,7.0,23.0,4.0,4.0,NINGBO
301,2024-02-24,09:32:21,440302070.0,126.41693,37.01629,0.0,0.0,SUNRISE NO.168,PRODUCT_TANKER,22.0,18.0,4.0,5.0,HIGH SEA
302,2024-02-24,09:32:22,440304320.0,126.32394828592264,37.06029276590203,264.0,0.05144,SUPER FORTE,CHEMICAL_TANKER,80.0,35.0,4.0,14.0,JING JIANG
